,SD21,SDXL,SD3,DALLE3,Midjourney
SD21,0.725,0.7208333333333333,0.625,0.5666666666666667,0.49166666666666664
SDXL,0.6666666666666666,0.8125,0.5291666666666667,0.6208333333333333,0.55
SD3,0.6291666666666667,0.5416666666666666,0.7625,0.5958333333333333,0.4875
DALLE3,0.6166666666666667,0.6791666666666667,0.5833333333333334,0.8041666666666667,0.6833333333333333
Midjourney,0.5125,0.675,0.5125,0.6625,0.6416666666666667
