,SD21,SDXL,SD3,DALLE3,Midjourney
SD21,0.7053941908713693,0.6890756302521008,0.5488372093023256,0.5352112676056338,0.4
SDXL,0.4682926829268293,0.8150943396226416,0.3645833333333333,0.41414141414141414,0.49038461538461536
SD3,0.2875,0.36904761904761907,0.8677685950413223,0.26582278481012656,0.24358974358974358
DALLE3,0.4583333333333333,0.5631067961165048,0.4421052631578947,0.7615062761506276,0.6296296296296297
Midjourney,0.36363636363636365,0.6153846153846154,0.4716981132075472,0.6094420600858369,0.6556016597510373
