,SD21,SDXL,SD3,DALLE3,Midjourney
SD21,0.7041666666666667,0.6916666666666667,0.5958333333333333,0.5875,0.5125
SDXL,0.5458333333333333,0.7958333333333333,0.49166666666666664,0.5166666666666667,0.5583333333333333
SD3,0.525,0.5583333333333333,0.8666666666666667,0.5166666666666667,0.5083333333333333
DALLE3,0.5666666666666667,0.625,0.5583333333333333,0.7625,0.6666666666666666
Midjourney,0.475,0.625,0.5333333333333333,0.6208333333333333,0.6541666666666667
