,SD21,SDXL,SD3,DALLE3,Midjourney
SD21,0.7854251012145749,0.7903225806451613,0.47715736040609136,0.46153846153846156,0.3240223463687151
SDXL,0.3473053892215569,0.9090909090909091,0.08333333333333333,0.41379310344827586,0.449438202247191
SD3,0.2875816993464052,0.26490066225165565,0.9218106995884774,0.3096774193548387,0.2875816993464052
DALLE3,0.40963855421686746,0.5573770491803278,0.2631578947368421,0.9090909090909091,0.625
Midjourney,0.3522727272727273,0.7659574468085106,0.3236994219653179,0.7763713080168776,0.8114754098360656
