,SD21,SDXL,SD3,DALLE3,Midjourney
SD21,0.7791666666666667,0.7833333333333333,0.5708333333333333,0.5625,0.49583333333333335
SDXL,0.5458333333333333,0.9041666666666667,0.45,0.575,0.5916666666666667
SD3,0.5458333333333333,0.5375,0.9208333333333333,0.5541666666666667,0.5458333333333333
DALLE3,0.5916666666666667,0.6625,0.5333333333333333,0.9083333333333333,0.7
Midjourney,0.525,0.7708333333333334,0.5125,0.7791666666666667,0.8083333333333333
