model,val_accuracy,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
LogisticRegression,0.8347222222222223,0.9096431283219438,0.790875,0.8319444444444445,0.8340306834030683,0.9966666666666667,0.9081245254365984,0.7578888888888888
SVM_RBF,0.8333333333333334,0.9090909090909091,0.7937500000000001,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,0.7489236111111112
RandomForest,0.8458333333333333,0.9153318077803204,0.7986111111111112,0.8486111111111111,0.846262341325811,1.0,0.9167303284950343,0.7951805555555557
LightGBM,0.8666666666666667,0.9238095238095239,0.8604027777777777,0.8833333333333333,0.8885542168674698,0.9833333333333333,0.9335443037974683,0.8514722222222222
