generator,accuracy,precision,recall,f1,roc_auc
SD21,0.7791666666666667,0.7637795275590551,0.8083333333333333,0.7854251012145749,0.8805555555555555
SDXL,0.9041666666666667,0.8646616541353384,0.9583333333333334,0.9090909090909091,0.9695833333333334
SD3,0.9208333333333333,0.9105691056910569,0.9333333333333333,0.9218106995884774,0.9604166666666667
DALLE3,0.9083333333333333,0.9016393442622951,0.9166666666666666,0.9090909090909091,0.9784027777777777
Midjourney,0.8083333333333333,0.7983870967741935,0.825,0.8114754098360656,0.8866666666666667
