,SD21,SDXL,SD3,DALLE3,Midjourney
SD21,0.7041666666666667,0.7,0.6583333333333333,0.5625,0.4875
SDXL,0.6916666666666667,0.7541666666666667,0.5875,0.6208333333333333,0.55
SD3,0.6541666666666667,0.6083333333333333,0.775,0.5625,0.525
DALLE3,0.6375,0.65,0.6041666666666666,0.8041666666666667,0.6041666666666666
Midjourney,0.5375,0.6291666666666667,0.5041666666666667,0.6166666666666667,0.6666666666666666
