,SD21,SDXL,SD3,DALLE3,Midjourney
SD21,0.7125506072874493,0.7073170731707317,0.652542372881356,0.5070422535211268,0.36923076923076925
SDXL,0.6890756302521008,0.766798418972332,0.5352112676056338,0.5882352941176471,0.47058823529411764
SD3,0.6244343891402715,0.5523809523809524,0.784,0.4723618090452261,0.4
DALLE3,0.583732057416268,0.6037735849056604,0.527363184079602,0.8112449799196787,0.527363184079602
Midjourney,0.497737556561086,0.6337448559670782,0.4413145539906103,0.6166666666666667,0.6825396825396826
