,SD21,SDXL,SD3,DALLE3,Midjourney
SD21,0.7747035573122529,0.7747035573122529,0.49514563106796117,0.4729064039408867,0.24858757062146894
SDXL,0.3699421965317919,0.889763779527559,0.0945945945945946,0.38857142857142857,0.4419889502762431
SD3,0.2926829268292683,0.2822085889570552,0.8709677419354839,0.2822085889570552,0.2822085889570552
DALLE3,0.38509316770186336,0.4883720930232558,0.16901408450704225,0.8841201716738197,0.6170212765957447
Midjourney,0.31213872832369943,0.7521367521367521,0.3502824858757062,0.6787330316742082,0.7782426778242678
