model,val_accuracy,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
LogisticRegression,0.8,0.8791946308724832,0.7585277777777779,0.7805555555555556,0.8622950819672132,0.8766666666666667,0.8694214876033057,0.6804305555555556
SVM_RBF,0.8333333333333334,0.9090909090909091,0.7937500000000001,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,0.7489236111111112
RandomForest,0.8333333333333334,0.9090909090909091,0.7786597222222222,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,0.7322222222222222
LightGBM,0.8652777777777778,0.9246309246309247,0.8817777777777778,0.8597222222222223,0.86002886002886,0.9933333333333333,0.9218870843000774,0.8704861111111112
