generator,accuracy,precision,recall,f1,roc_auc
SD21,0.7041666666666667,0.7024793388429752,0.7083333333333334,0.7053941908713693,0.7975
SDXL,0.7958333333333333,0.7448275862068966,0.9,0.8150943396226416,0.8509027777777778
SD3,0.8666666666666667,0.860655737704918,0.875,0.8677685950413223,0.9554166666666667
DALLE3,0.7625,0.7647058823529411,0.7583333333333333,0.7615062761506276,0.8590277777777777
Midjourney,0.6541666666666667,0.6528925619834711,0.6583333333333333,0.6556016597510373,0.7557638888888889
