generator,accuracy,precision,recall,f1,roc_auc
SD21,0.7041666666666667,0.6929133858267716,0.7333333333333333,0.7125506072874493,0.788888888888889
SDXL,0.7541666666666667,0.7293233082706767,0.8083333333333333,0.766798418972332,0.8438194444444445
SD3,0.775,0.7538461538461538,0.8166666666666667,0.784,0.8158333333333333
DALLE3,0.8041666666666667,0.7829457364341085,0.8416666666666667,0.8112449799196787,0.8874305555555555
Midjourney,0.6666666666666666,0.6515151515151515,0.7166666666666667,0.6825396825396826,0.6982638888888889
