feature_name,family,max_mi,mean_mi,specificity_ratio,SD21,SDXL,SD3,DALLE3,Midjourney
wavelet_HH1_mean,wavelet,0.22346382480733173,0.06124414120613397,3.648737932440998,0.019979503407516086,0.02214302395390777,0.22346382480733173,0.008735827504293692,0.03189852635762058
color_B_bin00,color,0.2186077906733963,0.08336233466540648,2.622380826166243,0.024049405299385596,0.2186077906733963,0.0401306406023223,0.07902480058038042,0.05499903617154778
color_B_bin01,color,0.20565782042502212,0.07619361798646858,2.69914755540809,0.03954509670695927,0.20565782042502212,0.01946749272544146,0.04498539235863297,0.07131228771628706
color_G_bin31,color,0.1996226356236741,0.054184169618062585,3.6841504326196852,0.0417046060014612,0.1996226356236741,0.0,0.02282116595126027,0.006772440513917344
color_R_bin01,color,0.1851295415222849,0.0672150110319599,2.754288601990551,0.049063136786747785,0.1851295415222849,0.03389254699033373,0.03754695219110249,0.030442877669330626
wavelet_LL3_std,wavelet,0.1835616650860672,0.07747749593854718,2.369225547279396,0.08741504037051362,0.1835616650860672,0.016487948258128382,0.08355530467856043,0.01636752129946628
color_B_bin31,color,0.18059794653845795,0.06122805795809185,2.949594509636015,0.05630718254053457,0.18059794653845795,0.017696827083504063,0.033883354311037284,0.01765497931692539
color_R_bin00,color,0.1758476437322971,0.06949667208145124,2.530303048121466,0.03037071579159689,0.1758476437322971,0.038417707217815344,0.05984501551835075,0.04300227814719615
color_G_bin01,color,0.1671704648096477,0.0671234046979321,2.4904943822717533,0.03592964631694162,0.1671704648096477,0.026443908505381586,0.04747616365291485,0.058596840204774736
color_R_bin31,color,0.1667714260541966,0.051641493301159705,3.229407442813897,0.027550951473533702,0.1667714260541966,0.03097652636174142,0.01313199103887075,0.019776571577456048
color_G_bin00,color,0.16437464617552577,0.0818736170503966,2.0076631531581564,0.042932299896183634,0.16437464617552577,0.05488099718113637,0.0978884273037719,0.04929171469536531
color_B_bin30,color,0.15998438524937297,0.047244305214223514,3.3863209785311144,0.02391296435937318,0.15998438524937297,0.03460437888981893,0.010920370918748201,0.006799426653804286
color_G_bin25,color,0.14446696555351068,0.053381638474035584,2.706304395611122,0.027610517167454995,0.010939797800852968,0.06524017446985941,0.14446696555351068,0.01865073737849987
color_R_bin25,color,0.142451252912019,0.03557674082046347,4.004055616753587,0.0008862408839751534,0.0029062528131118537,0.020910126603764123,0.142451252912019,0.010729830889447234
color_G_bin30,color,0.13605705580142557,0.04974512529437747,2.735083131486665,0.0026900784820274026,0.13605705580142557,0.03734184725699907,0.037888591529390725,0.034748053402044565
color_R_bin24,color,0.13534544281081096,0.04787116318067382,2.827285384161424,0.020598465989174697,0.016662753377544526,0.047554402704585996,0.13534544281081096,0.019194751021252898
color_B_bin02,color,0.13097409937864435,0.06087759129928281,2.151433629877431,0.04585042409458007,0.13097409937864435,0.03963875019189422,0.017700949503437036,0.07022373332785836
color_R_bin02,color,0.13062414153010016,0.04805398191104393,2.7182791855548705,0.036813660467059695,0.13062414153010016,0.01573901553936774,0.0,0.05709309201869206
color_R_bin27,color,0.12933331418460003,0.03831441896475503,3.3755780278958207,0.0,0.0006895729447775611,0.061549207694397534,0.12933331418460003,0.0
color_G_bin20,color,0.12033368074418127,0.045641446796979325,2.6365000794769986,0.04588319729060242,0.04122026046056071,0.009280484979754755,0.12033368074418127,0.011489610509797465
