feature_name,family,mean_mi,std_mi,stability_score,SD21,SDXL,SD3,DALLE3,Midjourney
lbp_uniform_05,lbp,0.0635106627501186,0.024684275173254465,2.5729197933270864,0.029785370719015658,0.09508011492193469,0.05489979995416161,0.04914010724885021,0.08864792090663087
lbp_uniform_00,lbp,0.07415380244545026,0.030591372379524272,2.4240102438514133,0.03872594356995829,0.12086387289001865,0.06360273333428013,0.05001214963395162,0.09756431279904265
color_G_bin17,color,0.053050534479905175,0.02513501356810156,2.1106227862398277,0.03793707038889793,0.06991314836122142,0.02451139581728312,0.09358172065430148,0.039309337177821924
lbp_uniform_06,lbp,0.05679225767206475,0.028092796925094952,2.021594923492221,0.07814570047496328,0.04311322834773179,0.10079885922205745,0.027021343346166127,0.03488215696940511
color_R_bin15,color,0.055266167425462996,0.028706813507281274,1.9251933164317183,0.05075291771946144,0.04217445669894415,0.03331812664358513,0.11154408546649264,0.03854125059883162
color_G_bin02,color,0.06354641259416023,0.033573101612170426,1.8927774810757085,0.059411201609265385,0.12512732898493883,0.04821728204314213,0.023718850491276644,0.06125739984217815
color_G_bin00,color,0.0818736170503966,0.04554009667170504,1.7978357806919305,0.042932299896183634,0.16437464617552577,0.05488099718113637,0.0978884273037719,0.04929171469536531
lbp_uniform_08,lbp,0.06513653528677459,0.037802083950917484,1.7230937227760945,0.019303249640919118,0.07058072854361752,0.03411460707280578,0.12825127286628502,0.0734328183102455
color_G_bin15,color,0.054201791020075295,0.03230606266401204,1.6777590604594275,0.056600349508142855,0.06236272762631789,0.013796094583613527,0.10829143534354624,0.029958348038755966
color_G_bin14,color,0.05483270355359231,0.03406920169874289,1.6094507417285573,0.05923050768306326,0.048817717722047904,0.027834671702444025,0.11714928261169133,0.02113133804871503
lbp_uniform_07,lbp,0.07240048649477497,0.04538434371577936,1.5952744707053699,0.05179205271526999,0.042458282422522364,0.01565015509890655,0.12627572735372183,0.12582621488345413
lbp_uniform_09,lbp,0.06747296484686319,0.04236073259261345,1.5928186111165135,0.0,0.11253312102558,0.04016357422740646,0.0780654222666477,0.10660270671468175
color_B_bin02,color,0.06087759129928281,0.03883811874508876,1.5674700963601882,0.04585042409458007,0.13097409937864435,0.03963875019189422,0.017700949503437036,0.07022373332785836
dct_08,dct,0.07065861517588648,0.050087394054726495,1.4107065280333198,0.13662536603138364,0.11656024153522004,0.02512921030828008,0.06758736284965172,0.0073908951548968815
lbp_uniform_04,lbp,0.057036943624843815,0.04057423508115456,1.4057428835076862,0.01735895677850441,0.09566029470687187,0.0,0.09668245353019156,0.07548301310865124
color_G_bin18,color,0.05447483288418771,0.03910849132900739,1.3929156978465993,0.06834712618813299,0.0803922222447242,0.007067193923238957,0.1057533697856885,0.010814252279153891
color_R_bin28,color,0.05079836403092304,0.0371061848827563,1.3689998802741314,0.01512466523635636,0.055815644172007906,0.04333613920838286,0.1188697180035736,0.02084565353429446
dct_00,dct,0.05795450004021894,0.04238858851005385,1.3672193557295205,0.11138262541871624,0.06802633437471273,0.0916087904954277,0.018754749912238022,0.0
wavelet_LL3_mean,wavelet,0.058000134960853836,0.042446167584143955,1.366439820024655,0.11161080002189072,0.06802633437471273,0.0916087904954277,0.018754749912238022,0.0
color_G_bin01,color,0.0671234046979321,0.05117812538994676,1.3115643231346892,0.03592964631694162,0.1671704648096477,0.026443908505381586,0.04747616365291485,0.058596840204774736
