family,SD21,SDXL,SD3,DALLE3,Midjourney,avg_across_generators,n_features
lbp,0.028822900682087083,0.06722091890154695,0.04219019058776301,0.06621483144260296,0.06928275904179748,0.0547463201311595,10
color,0.02070556498528454,0.05422587866512859,0.03622759317958472,0.0665366205643952,0.02084667923483775,0.03970846732584615,96
glcm,0.018794929427885805,0.022715460391117447,0.01802786396767621,0.06955306178276846,0.018244598224315744,0.02946718275875273,40
wavelet,0.024157206764547422,0.027696807144857893,0.026960731073230115,0.03220110135353295,0.015069469128855395,0.025217063093004755,20
canny,0.0041100466726482114,0.013723948721133397,0.007159835638721838,0.02728996519705958,0.017987638334292583,0.014054286912771122,6
hog,0.01011818045478367,0.010746767079361683,0.015939948242734096,0.008150922708180033,0.007088067862830387,0.010408777269577976,8100
dct,0.010388250081018499,0.011118909084136243,0.01134341307561379,0.0095819032097267,0.006383509331731072,0.009763196956445262,64
