feature_name,SD21,SDXL,SD3,DALLE3,Midjourney
hog_0000,0.0,0.013990147928789165,0.006961167028215254,0.0,0.0
hog_0001,0.0,0.0,0.01339433413707214,0.003671413864650752,0.013056073322839534
hog_0002,0.0,0.0008002134660149984,0.004412781998212489,0.020558012526321168,0.0
hog_0003,0.004134257291648291,0.006702476212145259,0.04536502497500927,0.027557759176146668,0.05151610293031483
hog_0004,0.0,0.0015189290899162433,0.0,0.0,0.026015148250657427
hog_0005,0.0,0.009802721203512998,0.0,0.0,0.0
hog_0006,0.020319253123959102,0.0,0.020419326481267763,0.0031987322757596193,0.0030353350404082047
hog_0007,0.0,0.0,0.0,0.0,0.0
hog_0008,0.0,0.011775892417665634,0.021100655048763794,0.0,0.008196324844255587
hog_0009,0.009664681782018958,0.000591505949147253,0.0,0.02540904002402744,0.004083437851800431
hog_0010,0.007691752623697479,0.006970504533613697,0.014439099143890521,0.00792836276431852,0.0
hog_0011,0.0,0.04188822010929294,0.0,0.021657677657222818,0.0
hog_0012,0.0,0.008333398115886403,0.011109255808415153,0.027121800410355945,0.02873906546906002
hog_0013,0.016563952271100302,0.003607289492352228,0.017186344550150112,0.00884870161664253,0.0
hog_0014,0.0020794652944913228,0.0,0.032797689137058494,0.017420739333244395,0.0
hog_0015,0.0,0.027221258067759324,0.0,0.0,0.0023692715579060053
hog_0016,0.0,0.015637813531804934,0.009123907197126524,0.0,0.023101530243953006
hog_0017,0.0,0.0,0.015578911347909674,0.0,0.00682510287982252
hog_0018,0.03701754181001582,0.0,0.008511775762384932,0.0,0.013345317352097652
hog_0019,0.024803564423009128,0.01702903763508279,0.024821880461545875,0.003454350184344701,0.0
hog_0020,0.0,0.0,0.0,0.010141383208970511,0.0017307101547834325
hog_0021,0.005298465982117584,0.021395801458910402,0.02893498562033714,0.02538355501481715,0.015260152361214807
hog_0022,0.02520160255265802,0.007999127958507879,0.0,0.0006810547156848035,0.012015319317274509
hog_0023,0.010360803290522913,0.0,0.0231921664209791,0.005219110826317097,0.0
hog_0024,0.011387224601594248,0.0,0.006414266376928879,0.01220478042637163,0.024652509939904643
hog_0025,0.0,0.0,0.027278782749206254,0.010622010517708835,0.03896026704527644
hog_0026,0.024027518700002748,0.021003500672045927,0.029130992946866163,0.04078031910629587,0.01802575559674291
hog_0027,0.0,0.013343962152613909,0.0008421657418031803,0.01937438271704872,0.0
hog_0028,0.0,0.002324700189148654,0.04138176459166343,0.008032263590383115,0.0
hog_0029,0.013632922851756879,0.008280475928931885,0.013086069878571305,0.029692066570433218,0.0089316765098717
hog_0030,0.006772273070282386,0.008145555046242814,0.0201899962776797,0.003103130588114844,0.0
hog_0031,0.014202363331911272,0.0,0.004172604269195412,0.004550172764542282,0.011720877895601056
hog_0032,0.0,0.0,0.024735478112144493,0.0,0.004819462371410621
