feature_name,family,index,SD21,SDXL,SD3,DALLE3,Midjourney,mean_mi,std_mi,max_mi,stability_score,specificity_ratio
hog_0000,hog,0,0.0,0.013990147928789165,0.006961167028215254,0.0,0.0,0.004190262991400883,0.005592683895565626,0.013990147928789165,0.7492399571310183,3.3387270963116564
hog_0001,hog,1,0.0,0.0,0.01339433413707214,0.003671413864650752,0.013056073322839534,0.006024364264912485,0.006031313179908257,0.01339433413707214,0.9988476947496909,2.2233602293480317
hog_0002,hog,2,0.0,0.0008002134660149984,0.004412781998212489,0.020558012526321168,0.0,0.005154201598109731,0.007872939667208602,0.020558012526321168,0.6546729889096427,3.9885922477825533
hog_0003,hog,3,0.004134257291648291,0.006702476212145259,0.04536502497500927,0.027557759176146668,0.05151610293031483,0.027055124117052864,0.019356864460458183,0.05151610293031483,1.3977017184068634,1.9041162333359234
hog_0004,hog,4,0.0,0.0015189290899162433,0.0,0.0,0.026015148250657427,0.0055068154681147344,0.010271027223063325,0.026015148250657427,0.5361503589046056,4.724172015045155
hog_0005,hog,5,0.0,0.009802721203512998,0.0,0.0,0.0,0.0019605442407025996,0.003921088481405199,0.009802721203512998,0.4999998724844198,4.999997449689048
hog_0006,hog,6,0.020319253123959102,0.0,0.020419326481267763,0.0031987322757596193,0.0030353350404082047,0.009394529384278937,0.009033052382038298,0.020419326481267763,1.0400170337705978,2.1735334972611318
hog_0007,hog,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hog_0008,hog,8,0.0,0.011775892417665634,0.021100655048763794,0.0,0.008196324844255587,0.008214574462137003,0.00792076838068063,0.021100655048763794,1.0370929978308656,2.5686847903488013
hog_0009,hog,9,0.009664681782018958,0.000591505949147253,0.0,0.02540904002402744,0.004083437851800431,0.007949733121398817,0.009381454571231306,0.02540904002402744,0.847388026414266,3.196212557050465
hog_0010,hog,10,0.007691752623697479,0.006970504533613697,0.014439099143890521,0.00792836276431852,0.0,0.007405943813104043,0.004579464887358528,0.014439099143890521,1.6172068960155197,1.9496633459031518
hog_0011,hog,11,0.0,0.04188822010929294,0.0,0.021657677657222818,0.0,0.01270917955330315,0.01682891417078504,0.04188822010929294,0.7551989789197024,3.295902511858334
hog_0012,hog,12,0.0,0.008333398115886403,0.011109255808415153,0.027121800410355945,0.02873906546906002,0.015060703960743504,0.011137890386810165,0.02873906546906002,1.3522042402549244,1.9082151561942062
hog_0013,hog,13,0.016563952271100302,0.003607289492352228,0.017186344550150112,0.00884870161664253,0.0,0.009241257586049035,0.006841678197039467,0.017186344550150112,1.3507294510458652,1.8597406825186442
hog_0014,hog,14,0.0020794652944913228,0.0,0.032797689137058494,0.017420739333244395,0.0,0.010459578752958842,0.012934301752411894,0.032797689137058494,0.8086697020454711,3.135660314438596
hog_0015,hog,15,0.0,0.027221258067759324,0.0,0.0,0.0023692715579060053,0.0059181059251330655,0.010691028480003025,0.027221258067759324,0.5535580961779736,4.599656344861878
hog_0016,hog,16,0.0,0.015637813531804934,0.009123907197126524,0.0,0.023101530243953006,0.009572650194576893,0.008980973616160879,0.023101530243953006,1.065880998856329,2.41328444695034
hog_0017,hog,17,0.0,0.0,0.015578911347909674,0.0,0.00682510287982252,0.004480802845546439,0.006146487409942449,0.015578911347909674,0.7290020816273521,3.4768117250644357
hog_0018,hog,18,0.03701754181001582,0.0,0.008511775762384932,0.0,0.013345317352097652,0.01177492698489968,0.013620585127042069,0.03701754181001582,0.8644948811359852,3.143759508125026
hog_0019,hog,19,0.024803564423009128,0.01702903763508279,0.024821880461545875,0.003454350184344701,0.0,0.0140217665407965,0.010490124223132767,0.024821880461545875,1.3366634089244023,1.7702390507706194
hog_0020,hog,20,0.0,0.0,0.0,0.010141383208970511,0.0017307101547834325,0.0023744186727507888,0.003940905755369479,0.010141383208970511,0.6025056719537063,4.271099724010297
hog_0021,hog,21,0.005298465982117584,0.021395801458910402,0.02893498562033714,0.02538355501481715,0.015260152361214807,0.019254592087479417,0.0083257190402211,0.02893498562033714,2.3126638890644333,1.502757575238115
hog_0022,hog,22,0.02520160255265802,0.007999127958507879,0.0,0.0006810547156848035,0.012015319317274509,0.009179420908825042,0.009193799128039248,0.02520160255265802,0.9984359874030379,2.745445497872731
hog_0023,hog,23,0.010360803290522913,0.0,0.0231921664209791,0.005219110826317097,0.0,0.007754416107563822,0.008623306791416561,0.0231921664209791,0.8992391661216577,2.990832979355337
hog_0024,hog,24,0.011387224601594248,0.0,0.006414266376928879,0.01220478042637163,0.024652509939904643,0.01093175626895988,0.008124015426556953,0.024652509939904643,1.3456098184667111,2.255127820108491
hog_0025,hog,25,0.0,0.0,0.027278782749206254,0.010622010517708835,0.03896026704527644,0.015372212062438306,0.015448863942006187,0.03896026704527644,0.9950382840515708,2.5344605156738997
hog_0026,hog,26,0.024027518700002748,0.021003500672045927,0.029130992946866163,0.04078031910629587,0.01802575559674291,0.026593617404390722,0.007986780370327507,0.04078031910629587,3.3297039409631695,1.533462595656515
hog_0027,hog,27,0.0,0.013343962152613909,0.0008421657418031803,0.01937438271704872,0.0,0.006712102122293162,0.00811018742364532,0.01937438271704872,0.8276135857366734,2.886484662713219
hog_0028,hog,28,0.0,0.002324700189148654,0.04138176459166343,0.008032263590383115,0.0,0.01034774567423904,0.01579235718555661,0.04138176459166343,0.6552375239122229,3.999108781304466
hog_0029,hog,29,0.013632922851756879,0.008280475928931885,0.013086069878571305,0.029692066570433218,0.0089316765098717,0.014724642347912997,0.007784424103152323,0.029692066570433218,1.8915516756594155,2.016487996949796
hog_0030,hog,30,0.006772273070282386,0.008145555046242814,0.0201899962776797,0.003103130588114844,0.0,0.007642190996463949,0.006891497697268493,0.0201899962776797,1.1089301953279045,2.6419116775686393
hog_0031,hog,31,0.014202363331911272,0.0,0.004172604269195412,0.004550172764542282,0.011720877895601056,0.006929203652250004,0.005237012223738329,0.014202363331911272,1.323121282344928,2.049638312717402
hog_0032,hog,32,0.0,0.0,0.024735478112144493,0.0,0.004819462371410621,0.005910988096711023,0.009595542648423019,0.024735478112144493,0.6160138824111822,4.184659742632201
hog_0033,hog,33,0.0,0.005981139055948104,0.005116027675853951,0.0,0.0,0.002219433346360411,0.0027319715112719785,0.005981139055948104,0.8123922686641769,2.694893437941252
hog_0034,hog,34,0.0,0.015535573512790224,0.0274242596079044,0.031632093195838484,0.030146386283688154,0.020947662520044253,0.011906428180275267,0.031632093195838484,1.7593572516894576,1.5100535277154223
hog_0035,hog,35,0.00923527721133266,0.0056567456768013,0.037230874282926596,0.0,0.0012667778214836556,0.010677934998508842,0.013674358219531607,0.037230874282926596,0.7808727873154847,3.486710754599563
hog_0036,hog,36,0.0,0.0,0.007418158318320822,0.0,0.02000190150609149,0.0054840119648824626,0.007806832911497304,0.02000190150609149,0.7024629993480496,3.6473111267562777
