family,avg_cross_gen_f1,n_pairs
lbp,0.5574124554159449,20
hog,0.5558904249824923,20
canny,0.4897962846697278,20
dct,0.44648638888499,20
glcm,0.4444113416498424,20
wavelet,0.41002638194920527,20
color,0.3849656347789588,20
