generator,accuracy,precision,recall,f1,roc_auc
SD21,0.7625,0.7368421052631579,0.8166666666666667,0.7747035573122529,0.8494444444444444
SDXL,0.8833333333333333,0.8432835820895522,0.9416666666666667,0.889763779527559,0.9590277777777778
SD3,0.8666666666666667,0.84375,0.9,0.8709677419354839,0.9389583333333333
DALLE3,0.8875,0.911504424778761,0.8583333333333333,0.8841201716738197,0.9529166666666666
Midjourney,0.7791666666666667,0.7815126050420168,0.775,0.7782426778242678,0.8552083333333333
